https://thisisthegreat.com/	The Great	"1107 Abbot Kinney Boulevard, Venice, CA 90291"	"8575 Melrose Avenue, West Hollywood, CA 90069"	"12833 Ventura Boulevard, Unit 133, Studio City, CA 91604"	"1011 Larkspur Landing Circle, Suite 5B, Larkspur, CA 94939"	"3431 Via Oporto, Suite 101, Newport Beach, CA 92663"	"3665 Paseo Place, Suite 920, San Diego, CA 92130"	"480 Broome Street, 1st Floor, New York, NY 10013"	"1801 E Cabrillo Blvd Unit 4, Santa Barbara, CA 93108"	"23465 Civic Center Way, Suite 420, Malibu, CA 90265"																																			
https://www.belovedboutiqueshop.com/	Beloved Boutique	"115 S Main St Breckenridge, CO 80424"																																											
https://www.meridianboutique.com/	Meridian Boutique	"101 E Main St, Ste. 6, Bozeman, MT 59715"																																											
https://lepaboutique.com/	Lepa Boutique	"42 S. Washington Hinsdale, IL 60521"	"207 S. 3rd Street Geneva, IL 60134"																																										
https://pilarboutique.com/	Pilar Boutique	"217 LINDEN ST. FORT COLLINS, CO 80524"																																											
https://ivyandleo.com/	Ivy & Leo	"4840 Forest Drive Columbia, SC 29206"	"6401 Carnegie Blvd #13-A, Charlotte, NC 28211"	"2010 Cameron St, Raleigh, NC 27605"	"7315 Waverly Walk Ave Unit F1-4, Charlotte, NC 28277"	"1620 Palmetto Grande Dr, Mt Pleasant SC 29464"																																							
https://lizzylouboutique.com/	Izzy Lou Boutique	"310 Main Street, Danville, VA 24541"																																											
https://shoptcbrichmond.com/	Traveling Chic Boutique	"3143 W Cary St, Richmond, VA 23221"																																											
https://www.sundaysupplyco.com/	Sunday Supply	"120 S. College Avenue, Fort Collins, Colorado 80524"																																											
https://www.rothmansny.com/	Rothmans	"222 Park Avenue South, New York, NY 10003"	"One Boniface Circle, Scarsdale, NY 10583"	"60 Pondfield Road, Bronxville, NY 10708"																																									
https://galvanic.co/	Galvanic	"301 Washington St, Cape May, NJ 08204"																																											
https://purposeboutique.com/	Purpose Boutique	"11900 NE Village Plaza Suite 172 Kirkland, WA 98034"																																											
https://thepoint02127.com/	The Point 02127	"135 Emerson Street Boston, MA 02127"	"1325 Market Street Lynnfield, MA 01940"																																										
https://gravitynyc.co/	Gravity NYC	"3762 E Tremont Ave, Bronx, NY 10465"																																											
https://www.sassanova.com/																																													
https://patrickjames.com/	Patrick James	"7538 Soquel Drive, Aptos, CA 95003"	"3744 The Barnyard, Carmel, CA 93923"	"200 Railroad Avenue, Suite E, Danville, CA 94526"	"2650 Via De La Valle Suite C240, Del Mar, CA 92014"	"350 Palladio Parkway Suite 1909, Folsom, CA 95630"	"780 W Shaw Ave, Fresno, CA 93704"	"641 Higuera St Suite 100, San Luis Obispo, CA 93401"	"2340 Sonoma Ave., Santa Rosa, CA 95405"	"103 Plaza St., Healdsburg, CA 95448"																																			
https://shoptboutique.com/collections																																													
https://forts.co/	Forts	"325 Hart St. Suite 122, Nashville, TN"																																											
https://jbrooksmenswear.com/	JBrooks	"32500 Northwester Hwy, Farmington Hills MI 48344"	"612 W 14 Mile rd, Troy MI 48076"																																										
https://www.westnyc.com/	West NYC	"147 W 72nd St., New York, NY 10023"																																											
https://logansoflexington.com/collections	Logan’s	"161 Lexington Green Cir #160, Lexington, KY 40503"																																											
