https://timelessvixen.com/	Timeless Vixen	"1100 S Beverly Dr, Los Angeles, CA 90035"																															
https://mfredric.com/collections/	M.Fredric	"22283 Mulholland Hwy, Calabasas, CA 91302"	"12124 Ventura Blvd, Studio City, CA, 91604"	"982 S. Westlake Blvd #14, Westlake Village, CA, 91362"	"23410 Civic Center Way, Malibu, CA, 90265"	"6320 Topanga Canyon Blvd, Woodland Hills, CA, 91367"	"378 E. Main Street, Ventura, CA, 93001"																										
https://elysewalker.com/collections/	elysewalker	"4719 Commons Way Suite J, Calabasas, CA 91302"	"57 Main St, Southampton, NY 11968"	"3444 Via Lido, Newport Beach, CA 92663"	"1381 Main Street, Saint Helena, CA 94574"	"39 N. Moore Street, New York, NY 10013"	"926 Madison Ave, New York, NY 10021"	"3444 Via Lido, Newport Beach, CA 92663"																									
https://feature.com/collections/	FEATURE	"4751 Commons Way I, Calabasas, CA 91302"	"12833 Ventura Blvd Suite 109, Studio City, CA 91604"	"3735 Spring Mountain Rd. Suite 205, Las Vegas, NV 89102"	"3131 S Las Vegas Blvd. Suite 206, Las Vegas, NV 89109"	"15147 N. Scottsdale Rd. Suite 185, Scottsdale, AZ 85254"	"4485 La Jolla Village Dr Suite F11, San Diego, CA 92122"																										
https://us.brandymelville.com/collections/i	Brandy Melville	"10958 Weyburn Ave, Los Angeles, CA 90024"																															
https://ilovewoo.com/collections/	The House of Woo	"826 E 3rd St, Los Angeles, CA 90013"																															
http://www.shopobs.com/	Obsession Fashion Apparel	"1114 1/2 Santee St, Los Angeles, CA 90015"																															
http://velvet-tees.com/	Velvet by Graham & Spencer	"1327 Abbot Kinney Blvd, Los Angeles, CA 90291"	"23465 CIVIC CENTER WAY, BUILDING 8, SUITE 810 & 820, MALIBU, CA 90265"	"1805 EAST CABRILLO BLVD, SUITE 15, SANTA BARBARA, CA 93108"	"282 LAFAYETTE STREET, NEW YORK, NY 10012"	"146 N Larchmont Blvd, LOS ANGELES, CA 90004"	"13020 SAN VICENTE BLVD, LOS ANGELES, CA 90049"	"3400 VIA OPORTO, BUILDING A, SUITE 101, NEWPORT BEACH, CA 92663"	"2130 FILLMORE STREET, SAN FRANCISCO, CA 94115"	"3230 KNOX STREET, SUITE 110, DALLAS, TX 75205"	"4612 26TH AVE, NE, SEATTLE, WA 98105"																						
https://industryofallnations.com/collections/	Industry of All Nations	"1121 Abbot Kinney Blvd STE 1, Venice, CA 90291"	"528 Hayes St, San Francisco, CA 94102"	"232 Elizabeth St, New York, NY 10012"	"61675 Twentynine Palms Hwy, Joshua Tree, CA 92252"	"100 North 3rd St, Brooklyn, NY 11249"																											
https://www.missmatchsd.com/collections/	Miss Match	"849 W. Harbor Dr. #W8-A, San Diego, CA 92101"	"1201 1st St. #217, Coronado, CA 92118"																														
https://threadandseed.com/collections/	Thread + Seed	"7863 Girard Ave. Suite 101, La Jolla, Ca 92037"	"2220 Fern St., San Diego, Ca 92104"	"2870 Fourth Ave. #106, San Diego, Ca 92103"																													
https://shoptwobirds.com/collections/	Two Birds	"1309 Castro St, San Francisco, CA 94114"																															
https://dresssanfrancisco.com/collections/	Dress Boutique	"2271 Chestnut St., San Francisco, CA 94123"																															
https://www.romiboutique.com/collections/	Romi Boutique	"624 Emerson Street, Palo Alto, CA 94301"																															
https://injeanius.com/collections/	Injeanius	"The Superette, 70 Pier 4 Blvd. Suite 440, Boston, MA 02210"																															
https://us.akris.com/collections/	Akris	"3500 Peachtree Rd NE Suite 1030E, Atlanta, GA 30326"	"9700 Collins Ave, Bal Harbour, FL 33154"	"29 Newbury St, Boston, MA 02116"	"101 E Oak St, Chicago, IL 60611"	"43A Highland Park Village, Dallas, TX 75205"	"5015 Westheimer Rd, Houston, TX 77056"	"835 Madison Avenue, New York, NY 10021"	"150 Worth Ave, Palm Beach, FL 33480"	"965 I St NW, Washington, DC 20001"																							
https://stylesmiami.com/collections/	Styles Miami	"6802 Main Street, Miami Lakes, Florida 33014"																															
https://alcltd.com/collections/	ALC	"352 N Beverly Dr, Beverly Hills, CA 90210"	"53 Greene St, New York, NY 10013"	"51 Newtown Ln, East Hampton, NY 11937"	"1015 Madison Ave, New York, NY 10075"	"90 NE 40th St, Miami, FL 33137"	"4444 Westheimer Rd f130, Houston, TX 77027"	"15227 Palisades Village Ln, Pacific Palisades, CA 90272"																									
https://cozyearth.com/collections/	Cozy Earth	"256 26th St, Santa Monica, CA 90402"	"3600 East Coast Hwy, Corona Del Mar, CA 92625"	"12925 El Camino Real, San Diego, CA 92130"																													
https://la-quinn.com/collections	Quinn																																
https://cottoncitizen.com/products/	Cotton Citizen	"471 N Robertson Blvd, West Hollywood, CA 90048"	"3131 S Las Vegas Blvd, Las Vegas, NV 89109"																														
https://onegoldenthread.com/collections/	One Golden Thread	"1216 Abbot Kinney Blvd, Venice, CA 90291"																															
https://kiltecollection.com/products/	Kilte	"1306 Montana Ave, Santa Monica, CA 90403"																															
